,,,,
Navn,Interval,tid,IF,Intervalbeskrivelse
,Int. grundtrænin.,,0.68,
IG: 1x(3-2-1)m,1x(3-2-1)m,6,4.08,"Int. grund: 1x(3-2-1)m køres som 1 interval af i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 15 slag under og 1 min. 10 slag under AT. "
IG: 1x(5-3-2)m,1x(5-3-2)m,10,6.8,"Int. grund.: 1x(5-3-2)m køres som 1 interval af i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. "
IG: 1x(10-3-2)m,1x(10-3-2)m,15,10.2,"Int. grund.: 1x(10-3-2)m køres som 1 interval af i alt 15 min. (10 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT."
IG: 1x(10-5-2)m,1x(10-5-2)m,17,11.56,"Int. grund.: 1x(10-5-2)m køres som 1 interval af i alt 17 min. (10 minutter 20 pulsslag under AT, 5 min 15 slag under og 2 min. 10 slag under AT."
IG: 1x(10-8-2)m,1x(10-8-2)m,20,13.6,"Int. grund.: 1x(10-8-2)m køres som 1 interval  af i alt 20 min. (10 minutter 20 pulsslag under AT, 8 min 15 slag under og 2 min. 10 slag under AT. "
IG: 1x(20-8-2)m,1x(20-8-2)m,30,20.4,"Int. grund.: 1x(20-8-2)m køres som 1 interval  af i alt 30 min. (20 minutter 20 pulsslag under AT, 8 min 15 slag under og 2 min. 10 slag under AT. "
,,,,
,,,,
IG: 2x(3-2-1)m,2x(3-2-1)m,12,8.16,"Int. grund.: 2x(3-2-1)m køres som 2 intervaller  af i alt 6 min. (3 minutter 20 pulsslag under AT, 2 min 15 slag under og 1 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 2x(5-3-2)m,2x(5-3-2)m,20,13.6,"Int. grund.: 2x(5-3-2)m køres som 2 intervaller  af i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 2x(10-3-2)m,2x(10-3-2)m,30,20.4,"Int. grund.: 2x(10-3-2)m køres som 2 intervaller  af i alt 15 min. (10 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 2x(10-5-2)m,2x(10-5-2)m,34,23.12,"Int. grund.: 2x(10-5-2)m køres som 2 intervaller  af i alt 17 min. (10 minutter 20 pulsslag under AT, 5 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 2x(10-8-2)m,2x(10-8-2)m,40,27.2,"Int. grund.: 2x(10-8-2)m køres som 2 intervaller  af i alt 20 min. (10 minutter 20 pulsslag under AT, 8 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 2x(20-8-2)m,2x(20-8-2)m,60,40.8,"Int. grund.: 2x(20-8-2)m køres som 2 intervaler  af i alt 30 min. (20 minutter 20 pulsslag under AT, 8 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier "
,,,,
,,,,
IG: 3x(5-3-2)m,3x(5-3-2)m,30,20.4,"Int. grund.: 3x(5-3-2)m køres som 3 intervaller  af i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 3x(10-3-2)m,3x(10-3-2)m,45,30.6,"Int. grund.: 3x(10-3-2)m køres som 3 intervaller  af i alt 15 min. (10 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
IG: 3x(10-8-2)m,3x(10-8-2)m,60,40.8,"Int. grund.: 3x(10-8-2)m køres som 3 intervaller  af i alt 20 min. (10 minutter 20 pulsslag under AT, 8 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
,,,,
IG: 4x(5-3-2)m,4x(5-3-2)m,40,27.2,"Int. grund.: 4x(5-3-2)m køres som 4 intervaller  af i alt 10 min. (5 minutter 20 pulsslag under AT, 3 min 15 slag under og 2 min. 10 slag under AT. Minimum 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
IG: 1x4m,1x4m,4,2.72,"Int. grund.: 1x4m køres som 1 interval af 4 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x5m,1x5m,5,3.4,"Int. grund.: 1x5m køres som 1 interval af 5 min. kadence 80-100, puls 10-20 slag under AT"
IG: 1x8m,1x8m,8,5.44,"Int. grund.: 1x8m køres som 1 interval af 8 min. kadence 80-100, puls 10-20 slag under AT"
